"Transaction id","Tranzakció azonosító
"Transaction amount","Tranzakció összege"
"Transactions","Tranzakciók"
"Transactions History","Tranzakció történet"
"Closed Unsuccessfully","Sikertelen"
"Processing","Folyamatban"
"Closed Successfully","Sikeres"
"Refunded","Visszatérítve"
"Transaction ID in Barion","Barionos tranzakció azonosító"
"Billing Name","Számlázási név"
"Amount","Összeg"
"Currency","Pénznem"
"Purchased From (Store)","Megrendelve (Bolt)"
"Transaction Status","Tranzakció állapota"
"Created At","Létrehozva"
"History ID","Tranzakció történet azonosító"
"Error Message","Hibaüzenet"
"Error Number","Hibakód"
"You will be redirected to the Barion website in a few seconds.","Néhány másodpercen belül átirányítjuk a Barion oldalára."
